Frame,T,Caos_Original,Caos_Fenix,Ruido_Vibracional,Fluxo_Qiskit,q0_x,q0_y,q0_z,q0_S,q0_VR_Ganho,q0_Torque,q1_x,q1_y,q1_z,q1_S,q1_VR_Ganho,q1_Torque,q2_x,q2_y,q2_z,q2_S,q2_VR_Ganho,q2_Torque,q3_x,q3_y,q3_z,q3_S,q3_VR_Ganho,q3_Torque,q4_x,q4_y,q4_z,q4_S,q4_VR_Ganho,q4_Torque,q5_x,q5_y,q5_z,q5_S,q5_VR_Ganho,q5_Torque,q6_x,q6_y,q6_z,q6_S,q6_VR_Ganho,q6_Torque,q7_x,q7_y,q7_z,q7_S,q7_VR_Ganho,q7_Torque,q8_x,q8_y,q8_z,q8_S,q8_VR_Ganho,q8_Torque,q9_x,q9_y,q9_z,q9_S,q9_VR_Ganho,q9_Torque,q10_x,q10_y,q10_z,q10_S,q10_VR_Ganho,q10_Torque,q11_x,q11_y,q11_z,q11_S,q11_VR_Ganho,q11_Torque,q12_x,q12_y,q12_z,q12_S,q12_VR_Ganho,q12_Torque,q13_x,q13_y,q13_z,q13_S,q13_VR_Ganho,q13_Torque
10,0.50000000,0.07142857,0.07142857,0.00000000,0.05000000,15.98772102,16.80333658,0.00000120,0.99870753,0.96306631,-0.03254737,7.11383684,22.07606482,0.00000120,0.99855947,0.96819913,-0.03786731,-3.14801329,22.97932817,0.00000120,0.99950812,0.93582006,-0.00476941,-12.82297712,19.32693808,0.00000120,0.99839294,0.97400763,-0.04392037,-19.93796654,11.85060724,0.00000120,0.99898628,0.95348294,-0.02268796,-23.10512737,2.02793174,0.00000120,0.99906209,0.95089475,-0.02004170,-21.69715563,-8.19711384,0.00000120,0.99820064,0.98076254,-0.05100325,-15.98976422,-16.80138997,0.00000120,0.99832934,0.97623607,-0.04625184,-7.12345947,-22.07296492,0.00000120,0.99924131,0.94480599,-0.01384414,3.16750713,-22.97664643,0.00000120,0.99889437,0.95663141,-0.02591654,12.82064638,-19.32848349,0.00000120,0.99824763,0.97910726,-0.04926329,19.93858919,-11.84955420,0.00000120,0.99837297,0.97470678,-0.04465130,23.10420277,-2.03845495,0.00000120,0.99938004,0.94012220,-0.00910335,21.70451038,8.17761348,0.00000120,0.99770074,0.99856148,-0.06988833
11,0.55000000,0.07857143,0.07857143,0.00000000,-0.05000000,14.56541723,17.96960229,0.00000131,0.99956475,0.92128975,0.00314091,5.32016739,22.51119084,0.00000131,0.99965894,0.92446859,-0.00003256,-4.99953688,22.58456092,0.00000131,0.99979596,0.94306865,-0.01881915,-14.30363542,18.17866276,0.00000131,0.99979063,0.94325266,-0.01900685,-20.77731507,10.16667080,0.00000131,0.99953285,0.95218578,-0.02816214,-23.13088715,0.14261191,0.00000131,0.99926336,0.96162284,-0.03792493,-20.90361234,-9.90442359,0.00000131,0.99891629,0.97392712,-0.05079286,-14.53397655,-17.99504527,0.00000131,0.99941746,0.95621415,-0.03231817,-5.32218172,-22.51071538,0.00000131,0.99962699,0.92338922,0.00104622,5.00665081,-22.58299182,0.00000131,0.99947596,0.95416959,-0.03020670,14.30324245,-18.17900075,0.00000131,0.99871324,0.98120471,-0.05847712,20.77242652,-10.17670002,0.00000131,0.99859602,0.98543280,-0.06296628,23.13079049,-0.15981704,0.00000131,0.99851043,0.98853272,-0.06626915,20.91195661,9.88681917,0.00000131,0.99839438,0.99275263,-0.07078095
12,0.60000000,0.08571429,0.08571429,0.00000000,0.05000000,12.98860648,19.05822274,0.00000141,0.99875597,0.95235670,-0.03514068,3.45911110,22.80254517,0.00000141,0.99773324,0.99197643,-0.07703525,-6.77316179,22.04637576,0.00000141,0.99953753,0.92323325,-0.00539253,-15.68671837,16.90702752,0.00000141,0.99819891,0.97372029,-0.05753041,-21.45984435,8.44946785,0.00000141,0.99952509,0.92368926,-0.00585131,-22.99854195,-1.72836613,0.00000141,0.99850723,0.96183271,-0.04501333,-19.98676928,-11.50872234,0.00000141,0.99766358,0.99473914,-0.08001635,-13.00570406,-19.04653092,0.00000141,0.99937907,0.92905932,-0.01127098,-3.46346754,-22.80189602,0.00000141,0.99741197,0.99523559,-0.09005895,6.77212340,-22.04677751,0.00000141,0.99742124,0.99560422,-0.08972361,15.66787611,-16.92453041,0.00000141,0.99741084,0.99519063,-0.09009984,21.47097358,-8.42124410,0.00000141,0.99857840,0.95911114,-0.04216824,22.99887239,1.72409760,0.00000141,0.99823896,0.97216696,-0.05588654,19.97771469,11.52431669,0.00000141,0.99921581,0.93510331,-0.01740791
13,0.65000000,0.09285714,0.09285714,0.00000000,0.05000000,11.36327946,19.98569004,0.00000151,0.99878164,0.95055879,-0.04006783,1.57515663,22.93625530,0.00000151,0.99822659,0.97459496,-0.06541854,-8.53182451,21.34851854,0.00000151,0.99914423,0.93520160,-0.02418804,-16.94909982,15.53322274,0.00000151,0.99818906,0.97624352,-0.06717915,-22.01329949,6.63073763,0.00000151,0.99872073,0.95316498,-0.04278745,-22.71269270,-3.56184730,0.00000151,0.99809309,0.98047291,-0.07170873,-18.92117650,-13.05909484,0.00000151,0.99936380,0.92603150,-0.01482587,-11.40164477,-19.96387686,0.00000151,0.99769507,0.99822508,-0.09091898,-1.60765736,-22.93401979,0.00000151,0.99772672,0.99680077,-0.08936596,8.50275518,-21.36017250,0.00000151,0.99773285,0.99652549,-0.08906604,16.94777919,-15.53466604,0.00000151,0.99814732,0.97808049,-0.06914426,22.00912640,-6.64465873,0.00000151,0.99811069,0.97969573,-0.07087502,22.71050311,3.57558720,0.00000151,0.99886542,0.94698657,-0.03635176,18.91076264,13.07423520,0.00000151,0.99842438,0.96595586,-0.05623796
14,0.70000000,0.10000000,0.10000000,0.00000000,-0.05000000,9.67075357,20.77118112,0.00000161,0.99929434,0.94956896,-0.04581943,-0.28636753,22.91032313,0.00000161,0.99972582,0.92902547,-0.02450850,-10.19148701,20.52068102,0.00000161,0.99985294,0.92306414,-0.01840908,-18.09626846,14.05314464,0.00000161,0.99899449,0.96413087,-0.06119509,-22.39723262,4.83014074,0.00000161,0.99860040,0.98363397,-0.08213203,-22.27808045,-5.35273724,0.00000161,0.99992854,0.91291127,-0.00810977,-17.76621868,-14.46811832,0.00000161,0.99967546,0.90128649,0.00354395,-9.69958536,-20.75775620,0.00000161,0.99851039,0.98814712,-0.08703235,0.28294461,-22.91039257,0.00000161,0.99871743,0.97779870,-0.07582686,10.20994909,-20.51151823,0.00000161,0.99929393,0.94958879,-0.04584022,18.06528714,-14.09291523,0.00000161,0.99976924,0.90557782,-0.00074071,22.40127985,-4.81129157,0.00000161,0.99894625,0.96649591,-0.06371314,22.27003435,5.38622107,0.00000161,0.99899383,0.96416328,-0.06122956,17.74893011,14.48931105,0.00000161,0.99993654,0.91328084,-0.00848270
15,0.75000000,0.10714286,0.10714286,0.00000000,-0.05000000,7.92583648,21.40921891,0.00000170,0.99940336,0.93961826,-0.04215247,-2.13075769,22.72956914,0.00000170,0.99977886,0.92066694,-0.02254338,-11.79463976,19.54635488,0.00000170,0.99948969,0.93522463,-0.03757202,-19.10736781,12.49327859,0.00000170,0.99949404,0.93500390,-0.03734245,-22.63201218,2.99423152,0.00000170,0.99995034,0.91214900,-0.01385639,-21.68804007,-7.12757554,0.00000170,0.99988260,0.91550376,-0.01726828,-16.44868509,-15.83079814,0.00000170,0.99989930,0.91467548,-0.01642475,-7.93361869,-21.40633493,0.00000170,0.99962762,0.92825077,-0.03034406,2.08928932,-22.73341832,0.00000170,0.99979109,0.89945548,-0.00105878,11.76843450,-19.56215013,0.00000170,0.99850750,0.98653271,-0.09232374,19.10931456,-12.49030216,0.00000170,0.99935297,0.94219294,-0.04484617,22.63438719,-2.97623504,0.00000170,0.99971442,0.92389020,-0.02585119,21.68224201,7.14521223,0.00000170,0.99886419,0.96756056,-0.07175970,16.48087952,15.79728068,0.00000170,0.99968169,0.89413469,0.00425250
16,0.80000000,0.11428571,0.11428571,0.00000000,0.05000000,6.14151494,21.89677128,0.00000179,0.99836644,0.96066310,-0.07123722,-3.96698295,22.39308564,0.00000179,0.99898732,0.92948292,-0.03825646,-13.29389211,18.45154018,0.00000179,0.99851355,0.95317563,-0.06322377,-19.98216490,10.85818926,0.00000179,0.99891647,0.93298579,-0.04191010,-22.71275298,1.14774364,0.00000179,0.99789395,0.98513956,-0.09783790,-20.94706634,-8.85479059,0.00000179,0.99851677,0.95301245,-0.06304978,-15.05244581,-17.04729888,0.00000179,0.99797935,0.98066653,-0.09293082,-6.19106171,-21.88280374,0.00000179,0.99772630,0.99398353,-0.10759978,3.90244397,-22.40440121,0.00000179,0.99761033,0.99984940,-0.11441909,13.29451806,-18.45109006,0.00000179,0.99855921,0.95086446,-0.06076210,19.98144152,-10.85952187,0.00000179,0.99896221,0.93072256,-0.03954795,22.71467871,-1.10923253,0.00000179,0.99868743,0.94440596,-0.05391288,20.96060983,8.82272045,0.00000179,0.99944195,0.90733768,-0.01546568,15.06001141,17.04061342,0.00000179,0.99787429,0.98617223,-0.09897368
17,0.85000000,0.12142857,0.12142857,0.00000000,-0.05000000,4.34830164,22.22864193,0.00000188,0.99974084,0.90796458,-0.02258895,-5.72904832,21.91342548,0.00000188,0.99971161,0.90923373,-0.02389056,-14.68465208,17.24473051,0.00000188,0.99935264,0.92497658,-0.04018257,-20.71300891,9.16465844,0.00000188,0.99932643,0.92613740,-0.04139455,-22.63798968,-0.73540918,0.00000188,0.99909982,0.93623882,-0.05200234,-20.07686045,-10.48516988,0.00000188,0.99887967,0.94616577,-0.06253311,-13.55418677,-18.14669260,0.00000188,0.99836326,0.96989700,-0.08812792,-4.34503077,-22.22923767,0.00000188,0.99826359,0.97455047,-0.09321536,5.69359719,-21.92266848,0.00000188,0.99988701,0.89196881,-0.00633695,14.68974917,-17.24037814,0.00000188,0.99907375,0.93740875,-0.05323798,20.71438942,-9.16149529,0.00000188,0.99873726,0.95264772,-0.06946562,22.63856852,0.71781241,0.00000188,0.99958165,0.91489956,-0.02972288,20.07816869,10.48268636,0.00000188,0.99922685,0.93056171,-0.04602715,13.61285511,18.10277065,0.00000188,0.99965000,0.88192469,0.00372176
18,0.90000000,0.12857143,0.12857143,0.00000000,-0.05000000,2.49332143,22.41575640,0.00000196,0.99909864,0.92480606,-0.04661041,-7.48379967,21.27616356,0.00000196,0.99881554,0.93590197,-0.05833185,-15.96760496,15.92850306,0.00000196,0.99825764,0.95819068,-0.08227307,-21.30037464,7.41459326,0.00000196,0.99864270,0.94274677,-0.06562825,-22.40903146,-2.55309108,0.00000196,0.99922678,0.91982999,-0.04139695,-19.07908606,-12.02793316,0.00000196,0.99903696,0.92721139,-0.04914010,-11.97258688,-19.11386855,0.00000196,0.99911350,0.92422732,-0.04600269,-2.48888323,-22.41623561,0.00000196,0.99864677,0.94258480,-0.06545501,7.48334529,-21.27631675,0.00000196,0.99861262,0.94394365,-0.06690920,15.93260027,-15.96348512,0.00000196,0.99753198,0.98804196,-0.11514771,21.29394909,-7.43296984,0.00000196,0.99803523,0.96723518,-0.09213671,22.40800577,2.56195240,0.00000196,0.99876479,0.93790602,-0.06046295,19.08702706,12.01535065,0.00000196,0.99943419,0.91183730,-0.03307938,11.97795030,19.11047478,0.00000196,0.99820158,0.96046181,-0.08474190
19,0.95000000,0.13571429,0.13571429,0.00000000,0.05000000,0.70741054,22.44304348,0.00000203,0.99915027,0.89042270,-0.01750152,-9.14323187,20.50829896,0.00000203,0.99746495,0.94930475,-0.07944626,-17.13897907,14.50671340,0.00000203,0.99780101,0.93723502,-0.06644347,-21.73415754,5.64058849,0.00000203,0.99832806,0.91863902,-0.04671486,-22.02781694,-4.35483407,0.00000203,0.99776087,0.93866774,-0.06797886,-18.01036271,-13.40949150,0.00000203,0.99601656,0.99672270,-0.13854143,-10.38877700,-19.90638391,0.00000203,0.99933554,0.88419514,-0.01117339,-0.67852351,-22.44388963,0.00000203,0.99700671,0.96603570,-0.09772398,9.11119967,-20.52253299,0.00000203,0.99673937,0.97594359,-0.10868478,17.08678926,-14.56809902,0.00000203,0.99627626,0.99336905,-0.12820545,21.73531700,-5.63605475,0.00000203,0.99757260,0.94542034,-0.07524472,22.03388774,4.32413527,0.00000203,0.99886263,0.90018553,-0.02750957,17.96118925,13.47536762,0.00000203,0.99833775,0.91830092,-0.04635964,10.34831231,19.92743379,0.00000203,0.99868586,0.90624274,-0.03377222
